#,WORD,DEFINITION,SAMPLE SENTENCE
1,Abundant,"Present in large quantities","Living close to a lake means we have an ``abundant` supply of water."
2,Accumulate,"To gradually collect","Each fall, leaves ``accumulate` in our yard."
3,Accurate,"Correct; free from errors","Make sure your address is ``accurate` before submitting your online order."
4,Accustomed,"Used to something","Having 8AM classes means I'm ``accustomed` to getting up early."
5,Acquire,"To come into possession of","When my grandmother died, I ``acquired` her cookbook collection."
6,Adamant,"Refusing to change an opinion","The defendant was ``adamant` that he was innocent."
7,Adequate,"Enough to suit your needs","Our house isn't big, but it's ``adequate` for the two of us."
8,Adjacent,"Close to or next to","The park is ``adjacent` to the school."
9,Adjust,"To change something so it serves its purpose better","The bike seat may be two high; you'll probably need to ``adjust` it."
10,Advantage,"Something that makes it easier to achieve success","His height gives him an ``advantage` in basketball."
11,Advocate,"To publicly support","My aunt is a major ``advocate` for women's rights."
12,Adverse,"Unfavorable; against one's desires","I had an ``adverse` reaction to my medication and had to stop taking it."
13,Aggregate,"To combine","We should ``aggregate` our resources to share them more easily."
14,Aggressive,"Assertive and pushy","The salesperson was very ``aggressive` when trying to get us to buy the television."
15,Allocate,"To put aside for a specific purpose","The vilage needs to ``allocate` funds for building the new school."
16,Alternative,"Another option or choice","If the ATM is broken, an ``alternative` solution is to stop by the bank."
17,Amateur,"Someone who is inexperienced or not highly skilled in a particular area","He's an ``amateur` soccer player and is still learning the rules of the game."
18,Ambiguous,"Having several potential meanings; unclear and difficult to understand","When I asked the HR manager what my chances were of getting the job, she gave me a very ``ambiguous` reply."
19,Ambitious,"Having large goals","My son is very ``ambitious` and hopes to be a millionaire by the time he's thirty."
20,Amend,"To change for the better; to improve","I believe we should ``amend` our country's tax laws."
21,Ample,"Plentiful","Our new apartment has ``ample` space for the two of us."
22,Anomaly,"Deviation from the norm","The basketball player is the team's best free thrower, so his missing both shots was an ``anomaly`."
23,Annual,"Occurring yearly","The ``annual` company barbeque takes place every August."
24,Antagonize,"To tease or be hostile towards a person or group","The boy loves to ``antagonize` his little sister by pulling her hair."
25,Attitude,"Manner or feeling","After she got grounded, the teenager had a bad ``attitude` for the rest of the day."
26,Attribute,"To give credit","Be sure to ``attribute` credit to your sources when writing a research paper."
27,Arbitrary,"Based on a whim or random decision","Flipping a coin is an ``arbitrary` way to make a decision."
28,Arduous,"Requiring a lot of effort","After you cross the bridge, there's an ``arduous` walk up the hill."
29,Assuage,"To lessen a negative feeling","The mother ``assuaged` her child's fear of the dark."
30,Assume,"To suppose without solid proof","I ``assumed` he was rich because he worked as a lawyer."
31,Augment,"To increase or make larger","She ``augments` her regular salary by babysitting on the weekends."
32,Benefit,"Something positive or advantageous","A ``benefit` of doing homework on Friday is that your weekend will be free."
33,Berate,"To scold","Our neighbor ``berated` us after we broke his window playing baseball."
34,Bestow,"To give as a gift","The medal was ``bestowed` upon him by the president."
35,Boast,"To brag or talk with excessive pride","He always ``boasts` of his talents after he wins a game."
36,Boost,"To help raise or increase something","I gave him a pep talk to ``boost` his self-esteem before his speech."
37,Brash,"Rude and tactless","The ``brash` man always asked inappropriate questions."
38,Brief,"Short (in terms of time)","It will only have a ``brief` meeting, so you'll still have plenty of time for lunch."
39,Brusque,"Abrupt to the point of rudeness","After being away for so long, I expected more than her ``brusque` greeting."
40,Cacophony,"A harsh, unpleasant mixture of noise","The cuckoo clock shop lets of a ``cacophony` every hour."
41,Cease,"To stop","I wish they would ``cease` arguing."
42,Censure,"To express strong disapproval","Every parent in our district ``censured` the education cuts."
43,Chronological,"Arranged in order of time or date","Put the historical events in ``chronological` order to make them easier to study."
44,Clarify,"To make clear; to remove confusion","I didn't understand the instructions, so I asked the teacher to ``clarify` them."
45,Coalesce,"To combine or grow together","The people on the street eventually ``coalesced` into a group."
46,Coerce,"To force someone to do something against their will","The young boy was ``coerced` into stealing by his friends."
47,Cognizant,"Being aware or having knowledge of something","Before mountain climbing, you need to be ``cognizant` of the risks."
48,Cohesion,"Uniting; becoming one","Water molecules show strong ``cohesion` when they stick together."
49,Coincide,"To occur at the same time","This year, Thanksgiving ``coincided with my birthday."
50,Collapse,"To fall down or break down","The old building finally ``collapsed`, leaving nothing but a pile of rubble."
51,Collide,"To hit one another with a forceful impact","The two cars ``collided` on the highway."
52,Commitment,"Dedication to a cause or activity","Joining a school play is a big ``commitment`.  You'll need to practice everyday."
53,Community,"A group of people who live or work together","The Chinese ``community` in my city is hosting a New Year celebration next week."
